publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p987999,,2016-12-31T13:26:16.959Z,2016-12-31T13:28:45.121Z,176.9232345,-37.25141989,2.41523257,94.0625,M,,NonLinLoc,,automatic,nz3drx,23,23,11,0.829659201,185.4342422,1.339786772,0
2016p987916,,2016-12-31T12:42:09.981Z,2016-12-31T12:43:38.229Z,175.885453,-40.3532068,1.044289185,24.6875,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.09929001891,65.50747753,0.2822511893,0
2016p987901,,2016-12-31T12:33:46.235Z,2016-12-31T12:35:51.208Z,173.7321354,-42.19595234,2.418725363,14.84375,M,,NonLinLoc,,automatic,nz3drx,18,18,7,0.2631875667,156.8992048,1.290014206,0
2016p987775,,2016-12-31T11:26:45.698Z,2016-12-31T11:28:57.565Z,173.7396954,-42.42477808,2.205859606,22.8125,M,,NonLinLoc,,automatic,nz3drx,19,19,6,0.1483211822,155.940161,0.8997131114,0
2016p987681,,2016-12-31T10:36:46.091Z,2016-12-31T11:01:53.918Z,176.5104099,-37.94522098,2.203627635,127.8125,M,,NonLinLoc,,automatic,nz3drx,26,26,12,0.4560281755,126.3129456,1.263285205,0
2016p987667,,2016-12-31T10:29:06.421Z,2016-12-31T10:30:52.225Z,174.4416425,-41.56104894,1.797585548,18.125,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.2566556193,127.601939,0.4964635939,0
2016p987663,,2016-12-31T10:27:13.989Z,2016-12-31T10:29:29.058Z,173.6644967,-40.85733773,2.103403669,111.875,M,,NonLinLoc,,automatic,nz3drx,12,12,5,0.2018689403,162.4964673,1.34760014,0
2016p987661,,2016-12-31T10:26:44.708Z,2016-12-31T10:29:01.472Z,177.0640283,-38.0223583,2.271766682,109.0625,M,,NonLinLoc,,automatic,nz3drx,57,57,31,0.2400534821,148.1621151,1.907070189,0
2016p987657,,2016-12-31T10:23:39.210Z,2016-12-31T10:26:57.926Z,174.1774733,-41.69925445,1.918091501,12.265625,M,,NonLinLoc,,automatic,nz3drx,20,20,6,0.05787985123,90.96835777,0.4523498938,0
2016p987637,,2016-12-31T10:13:14.549Z,2016-12-31T10:14:41.198Z,174.4259817,-41.58394213,1.481356382,20.9375,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.2316861716,156.2531148,0.3312603741,0
2016p987630,,2016-12-31T10:09:31.397Z,2016-12-31T10:11:33.781Z,173.2151702,-42.53472468,2.210284196,17.65625,M,,NonLinLoc,,automatic,nz3drx,11,11,2,0.2671468405,133.4602448,0.710961738,0
2016p987622,,2016-12-31T10:05:22.046Z,2016-12-31T10:07:16.971Z,172.3656119,-43.58288142,2.190588803,10.390625,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.2168021044,93.22264189,0.5961804534,0
2016p987617,,2016-12-31T10:02:39.794Z,2016-12-31T10:04:35.699Z,174.3327244,-41.67295072,1.986415332,19.53125,M,,NonLinLoc,,automatic,nz3drx,15,15,9,0.11874102,137.2003009,0.3431286285,0
2016p987573,,2016-12-31T09:39:05.915Z,2016-12-31T09:40:32.176Z,174.1326646,-41.70961729,1.926378441,11.328125,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.07281813268,88.02477857,0.2951788569,0
2016p987568,,2016-12-31T09:36:14.935Z,2016-12-31T09:37:49.618Z,174.4055334,-41.55498208,1.882918853,10.15625,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.2441776636,125.3023615,0.3914176355,0
2016p987564,earthquake,2016-12-31T09:34:09.881Z,2017-01-27T01:39:43.049Z,174.169551,-41.6902631,2.887328185,11.6796875,M,,NonLinLoc,confirmed,manual,nz3drx,25,19,11,0.06853219578,70.19398349,0.5067321605,0
2016p987558,,2016-12-31T09:30:55.841Z,2016-12-31T09:33:07.141Z,173.6879964,-42.27810079,2.550988954,24.21875,M,,NonLinLoc,,automatic,nz3drx,30,30,10,0.1770602612,138.8393881,0.7931499154,0
2016p987454,,2016-12-31T08:35:38.617Z,2016-12-31T08:37:06.259Z,173.4913789,-42.37584658,2.013842608,13.90625,M,,NonLinLoc,,automatic,nz3drx,10,10,3,0.05320653604,111.8297185,0.4250191777,0
2016p987447,,2016-12-31T08:32:07.354Z,2016-12-31T08:34:24.530Z,173.7897735,-42.38451667,2.692191345,26.09375,M,,NonLinLoc,,automatic,nz3drx,22,22,12,0.1880472202,148.3649346,0.76177521,0
2016p987438,,2016-12-31T08:27:03.301Z,2016-12-31T08:29:38.253Z,173.817333,-42.2484927,2.352450594,21.40625,M,,NonLinLoc,,automatic,nz3drx,15,15,7,0.2663052092,170.5074059,0.8958765897,0
2016p987432,,2016-12-31T08:24:10.660Z,2016-12-31T08:26:14.686Z,174.1351171,-41.71386018,2.066958782,12.96875,M,,NonLinLoc,,automatic,nz3drx,17,17,8,0.06900539846,90.36164399,0.3168576962,0
2016p987422,,2016-12-31T08:18:43.841Z,2016-12-31T08:20:53.622Z,176.3175701,-37.78922556,2.173863752,81.875,M,,NonLinLoc,,automatic,nz3drx,10,10,2,0.7679742435,130.8635757,1.120616299,0
2016p987421,,2016-12-31T08:18:10.181Z,2016-12-31T08:25:57.982Z,173.7525143,-42.06639187,2.423527586,26.09375,M,,NonLinLoc,,automatic,nz3drx,25,25,7,0.3624555053,149.5663231,0.6708823195,0
2016p987401,,2016-12-31T08:07:22.944Z,2016-12-31T08:09:07.328Z,174.3263302,-41.67443113,1.844086152,19.0625,M,,NonLinLoc,,automatic,nz3drx,16,16,6,0.1141630232,137.0927708,0.3503062451,0
2016p987380,,2016-12-31T07:56:17.557Z,2016-12-31T07:58:05.829Z,174.1242824,-41.82699096,2.077250232,12.96875,M,,NonLinLoc,,automatic,nz3drx,18,18,6,0.1021316882,143.5310318,0.5130589333,0
2016p987343,,2016-12-31T07:36:45.104Z,2016-12-31T07:38:50.281Z,174.3167857,-41.73921137,2.469111094,17.65625,M,,NonLinLoc,,automatic,nz3drx,23,23,14,0.07769765014,141.3611302,0.5708271332,0
2016p987304,earthquake,2016-12-31T07:15:59.533Z,2017-01-27T01:35:25.119Z,173.99839,-41.86084195,3.002907844,14.609375,M,,NonLinLoc,confirmed,manual,nz3drx,21,14,8,0.09587209954,132.6062081,0.4306463309,0
2016p987284,,2016-12-31T07:05:22.416Z,2016-12-31T07:07:22.467Z,174.081619,-41.6589009,1.551347506,20.46875,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.1339690516,75.20435648,0.5658821703,0
2016p987280,,2016-12-31T07:03:06.782Z,2016-12-31T07:05:23.664Z,177.327193,-37.73391973,2.02993529,76.25,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.3516500769,215.2863045,0.9297860798,0
2016p987277,,2016-12-31T07:01:32.033Z,2016-12-31T07:03:42.640Z,173.5562089,-42.36104253,2.236067501,36.40625,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.05647786757,154.3455528,0.7927172071,0
2016p987160,,2016-12-31T05:59:32.614Z,2016-12-31T06:01:13.629Z,177.5187805,-37.80318025,1.71826554,69.6875,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.1996674368,212.5812714,0.7956220337,0
2016p987096,,2016-12-31T05:24:47.985Z,2016-12-31T05:27:02.170Z,173.3444874,-41.93931743,2.19924767,9.6875,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.3709604021,203.9594432,1.904915871,0
2016p987072,earthquake,2016-12-31T05:12:20.064Z,2017-01-27T01:27:25.336Z,173.7447358,-42.29393552,3.283744848,23.046875,M,,NonLinLoc,confirmed,manual,nz3drx,27,21,11,0.1417238787,142.0403856,0.5184860503,0
2016p987056,,2016-12-31T05:03:50.098Z,2016-12-31T05:06:04.323Z,173.3826614,-42.46781599,2.467218132,56.5625,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.1267053397,141.3256569,1.571309884,0
2016p987036,,2016-12-31T04:52:48.783Z,2016-12-31T04:54:51.218Z,173.1009319,-42.6182083,2.415284381,30.78125,M,,NonLinLoc,,automatic,nz3drx,17,17,7,0.3524970409,143.4493537,0.6286007125,0
2016p987009,,2016-12-31T04:38:45.569Z,2016-12-31T04:40:47.683Z,173.199805,-42.51425042,2.201267519,9.21875,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.2691635921,126.4335056,0.4725242348,0
2016p986989,,2016-12-31T04:28:08.910Z,2016-12-31T04:30:44.168Z,173.7179801,-42.28564806,2.442295901,27.03125,M,,NonLinLoc,,automatic,nz3drx,16,16,7,0.1863590365,159.5194993,0.6471641088,0
2016p986963,,2016-12-31T04:15:11.280Z,2016-12-31T04:17:19.257Z,175.6593507,-39.16433644,1.156074946,72.96875,M,,NonLinLoc,,automatic,nz3drx,31,31,13,0.00439891752,32.9934271,0.7494643755,0
2016p986942,,2016-12-31T04:03:05.586Z,2016-12-31T04:05:08.554Z,174.0514396,-41.8582247,1.807612872,16.71875,M,,NonLinLoc,,automatic,nz3drx,14,14,5,0.1630345253,165.5841992,0.4476328745,0
2016p986934,,2016-12-31T03:58:36.296Z,2016-12-31T04:34:41.600Z,172.9165681,-42.66962582,2.457294506,19.53125,M,,NonLinLoc,,automatic,nz3drx,21,21,6,0.3101501164,102.6301309,0.5925129145,0
2016p986930,,2016-12-31T03:56:43.173Z,2016-12-31T03:58:32.267Z,174.417569,-41.55700437,1.628012149,19.0625,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.2480659274,127.4069983,0.2282282742,0
2016p986922,,2016-12-31T03:52:16.313Z,2016-12-31T03:53:58.280Z,174.4338135,-41.57249553,2.131426433,21.40625,M,,NonLinLoc,,automatic,nz3drx,22,22,11,0.2441469969,128.8057167,0.4694909101,0
2016p986918,,2016-12-31T03:50:19.944Z,2016-12-31T03:52:12.800Z,175.3856973,-39.16391751,1.510777153,12.6171875,M,,NonLinLoc,,automatic,nz3drx,35,35,17,0.1010085776,54.07146178,0.4296493327,0
2016p986901,,2016-12-31T03:41:09.708Z,2016-12-31T04:03:56.837Z,177.0079825,-39.46868489,1.507120024,14.84375,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.1963120588,187.6483238,0.5684189261,0
2016p986846,,2016-12-31T03:11:42.611Z,2016-12-31T03:13:57.436Z,174.0200971,-42.38953883,2.711335007,21.875,M,,NonLinLoc,,automatic,nz3drx,14,14,4,0.3564093494,165.4682987,1.624943459,0
2016p986828,,2016-12-31T03:01:59.897Z,2016-12-31T03:04:04.305Z,173.644412,-42.31688179,2.567271513,27.03125,M,,NonLinLoc,,automatic,nz3drx,12,12,2,0.1264592041,173.4864419,0.3990542006,0
2016p986823,,2016-12-31T02:59:40.332Z,2016-12-31T03:02:04.252Z,174.1454428,-41.85096791,1.893446229,10.15625,M,,NonLinLoc,,automatic,nz3drx,14,14,4,0.1131508184,183.0913996,1.293632628,0
2016p986779,,2016-12-31T02:36:00.662Z,2016-12-31T02:38:15.980Z,170.4154552,-45.33808476,2.602138055,6.40625,M,,NonLinLoc,,automatic,nz3drx,12,12,3,0.3299385876,187.36751,0.9129821747,0
2016p986735,,2016-12-31T02:12:45.972Z,2016-12-31T02:14:49.187Z,176.8128412,-39.0061565,1.962731162,13.90625,M,,NonLinLoc,,automatic,nz3drx,17,17,8,0.09308026649,216.5960127,1.213327823,0
2016p986722,,2016-12-31T02:05:53.276Z,2016-12-31T02:25:23.553Z,173.6883318,-42.15796463,2.427329598,23.28125,M,,NonLinLoc,,automatic,nz3drx,19,19,8,0.2813712247,148.7600847,0.7999414427,0
2016p986667,,2016-12-31T01:36:28.494Z,2016-12-31T01:38:37.961Z,174.7442402,-39.85199254,2.590220348,30.3125,M,,NonLinLoc,,automatic,nz3drx,16,16,12,0.2099325352,252.2606238,0.9816364193,0
2016p986665,earthquake,2016-12-31T01:35:58.834Z,2017-01-27T01:21:39.848Z,174.3619995,-41.58915009,3.223638878,10.0390625,M,,NonLinLoc,confirmed,manual,nz3drx,44,31,16,0.1970911197,126.5282752,0.7098099249,0
2016p986655,earthquake,2016-12-31T01:30:10.577Z,2017-01-27T01:12:03.218Z,174.3405147,-41.5989445,3.196585451,12.265625,M,,NonLinLoc,confirmed,manual,nz3drx,40,33,19,0.1799360847,124.8640816,0.6568216457,0
2016p986645,,2016-12-31T01:24:35.565Z,2016-12-31T01:26:22.811Z,174.2292704,-41.70411184,2.230472101,5.234375,M,,NonLinLoc,,automatic,nz3drx,19,19,6,0.04811380231,114.334801,0.7810739776,0
2016p986628,,2016-12-31T01:15:59.713Z,2016-12-31T01:17:40.079Z,177.378897,-36.98241089,2.258954412,63.125,M,,NonLinLoc,,automatic,nz3drx,12,12,5,0.8238690552,193.6184509,0.7579237278,0
2016p986567,,2016-12-31T00:43:06.673Z,2016-12-31T00:45:11.167Z,176.9040569,-39.82880291,1.988432888,37.34375,M,,NonLinLoc,,automatic,nz3drx,30,30,18,0.03856020424,151.6600488,0.7366912434,0
2016p986550,earthquake,2016-12-31T00:33:56.483Z,2017-01-27T01:05:55.494Z,174.3927307,-41.67385483,3.18582594,9.336120605,M,,LOCSAT,confirmed,manual,iasp91,28,20,11,0.1535696536,139.2360764,0.5793860004,0
2016p986532,,2016-12-31T00:24:48.399Z,2016-12-31T00:27:21.516Z,174.083893,-41.76657932,2.395146245,16.953125,M,,NonLinLoc,,automatic,nz3drx,23,23,13,0.09853459288,131.569881,0.4853918992,0
2016p986513,,2016-12-31T00:14:33.919Z,2016-12-31T01:47:52.035Z,173.3548849,-42.59885686,2.411210482,20.46875,M,,NonLinLoc,,automatic,nz3drx,15,15,6,0.2282558069,154.1874684,0.7298321182,0
2016p986475,,2016-12-30T23:54:11.941Z,2016-12-30T23:56:41.430Z,170.8427016,-43.20524742,2.245724745,5.234375,M,,NonLinLoc,,automatic,nz3drx,22,22,6,0.1522564861,74.63636749,1.243758384,0
2016p986468,,2016-12-30T23:50:36.937Z,2016-12-30T23:53:21.127Z,170.8643791,-43.20754065,2.084522685,5.234375,M,,NonLinLoc,,automatic,nz3drx,19,19,7,0.1630484832,69.37424656,1.481236732,0
2016p986430,,2016-12-30T23:30:18.591Z,2016-12-31T01:33:01.129Z,173.7351683,-41.97911509,2.276645383,14.84375,M,,NonLinLoc,,automatic,nz3drx,26,26,10,0.2835683423,137.6094632,1.136956324,0
2016p986405,,2016-12-30T23:16:49.782Z,2016-12-30T23:18:55.721Z,175.920139,-38.7771745,1.808070213,85.625,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.4409737914,129.2973642,0.7861530151,0
2016p986375,,2016-12-30T23:00:50.871Z,2016-12-30T23:02:17.996Z,175.3038957,-41.56806535,1.894589841,11.09375,M,,NonLinLoc,,automatic,nz3drx,10,10,8,0.03675847891,205.4941184,0.2646087158,0
2016p986371,,2016-12-30T22:58:46.554Z,2016-12-30T23:00:12.538Z,175.2881022,-41.54759109,1.678771242,9.21875,M,,NonLinLoc,,automatic,nz3drx,11,11,8,0.03445439967,163.3894552,0.33388928,0
2016p986349,,2016-12-30T22:47:12.623Z,2016-12-30T22:49:05.473Z,174.4416425,-41.56104894,1.694476273,18.125,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.3685463946,158.9617536,0.2447044197,0
2016p986330,earthquake,2016-12-30T22:37:01.881Z,2016-12-31T03:11:05.227Z,175.666548,-39.07014505,1.346508493,5.87890625,M,,NonLinLoc,confirmed,manual,nz3drx,21,16,13,0.02908546441,100.5795963,0.1142797678,0
2016p986310,earthquake,2016-12-30T22:25:59.852Z,2017-01-26T09:16:59.271Z,173.3775177,-42.53726578,4.056910133,14.89725876,M,,LOCSAT,confirmed,manual,iasp91,46,42,111,0.1701728851,127.2039833,0.7790503758,0
2016p986290,,2016-12-30T22:15:32.170Z,2016-12-30T22:17:31.794Z,174.8401098,-40.11840934,2.206059874,29.375,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.3809452752,170.1015803,0.4585554198,0
2016p986285,,2016-12-30T22:13:05.969Z,2016-12-30T22:14:46.002Z,175.987712,-39.68029063,1.190107391,12.734375,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.2015320856,142.6387552,0.1016764487,0
2016p986283,,2016-12-30T22:11:55.576Z,2016-12-30T23:04:29.142Z,174.2357725,-41.74350734,2.405917956,11.09375,M,,NonLinLoc,,automatic,nz3drx,22,22,12,0.01785558843,145.2197684,0.4754071914,0
2016p986272,,2016-12-30T22:05:46.180Z,2016-12-30T22:07:51.894Z,174.0672986,-41.83533151,1.863976912,15.78125,M,,NonLinLoc,,automatic,nz3drx,16,16,7,0.1391564118,156.0578971,0.5611691313,0
2016p986258,,2016-12-30T21:58:26.240Z,2016-12-30T22:00:20.241Z,175.8854214,-40.60243417,1.545826963,23.046875,M,,NonLinLoc,,automatic,nz3drx,20,20,12,0.08088583707,66.12586242,0.4241785494,0
2016p986255,,2016-12-30T21:56:45.960Z,2016-12-30T22:31:23.170Z,177.2381115,-38.09606003,1.770316711,53.28125,M,,NonLinLoc,,automatic,nz3drx,13,13,7,0.1967582204,187.4835247,0.5192980938,0
2016p986245,earthquake,2016-12-30T21:51:29.058Z,2017-01-26T09:24:40.279Z,174.2576752,-41.79162598,3.762417338,11.88951015,M,,LOCSAT,confirmed,manual,iasp91,57,53,100,0.0537487492,140.0996399,0.6739086436,0
2016p986230,,2016-12-30T21:43:35.308Z,2016-12-30T22:54:37.100Z,172.759338,-42.67175428,2.512158561,10.15625,M,,NonLinLoc,,automatic,nz3drx,13,13,8,0.3583092489,79.56730918,0.8063314834,0
2016p986182,,2016-12-30T21:17:57.124Z,2016-12-30T21:19:47.318Z,172.770667,-42.67875966,2.076849413,14.84375,M,,NonLinLoc,,automatic,nz3drx,10,10,3,0.3478258188,80.94812463,0.7576937985,0
2016p986177,,2016-12-30T21:15:35.896Z,2016-12-30T21:17:40.139Z,177.2552948,-37.86831806,1.784926538,65.9375,M,,NonLinLoc,,automatic,nz3drx,14,14,6,0.3419607354,221.2990238,1.039676265,0
2016p986169,earthquake,2016-12-30T21:10:52.373Z,2016-12-31T03:08:26.342Z,173.9186859,-42.08962631,2.931902122,10.79523563,M,,LOCSAT,confirmed,manual,iasp91,41,36,26,0.3757997155,137.8204079,0.7805453406,0
2016p986159,,2016-12-30T21:05:53.669Z,2016-12-30T22:41:56.182Z,173.8488446,-42.36620993,2.39214797,20.46875,M,,NonLinLoc,,automatic,nz3drx,20,20,10,0.2345440384,150.1624473,1.030570921,0
2016p986150,,2016-12-30T21:01:09.911Z,2016-12-30T22:40:28.999Z,174.1633944,-41.73137363,2.733861982,16.71875,M,,NonLinLoc,,automatic,nz3drx,54,54,20,0.04217269605,85.22571974,1.526976653,0
2016p986113,,2016-12-30T20:41:21.208Z,2016-12-30T20:43:15.435Z,174.2818003,-41.64142651,1.408028924,32.65625,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.1210812428,157.1877883,0.9152746136,0
